Type	Type1	Type2	Fresh_fluor	Froz_fluor	Species	Common_name
Swab_total	Swab	Total_spores	20446	21060	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	21129	21763	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	22250	22918	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	21414	22057	Salamandra salamandra	Fire salamander
Swab_total	Swab	Total_spores	20872	21499	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	24771	30905	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	23840	29548	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	25148	29407	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	23201.85	21862	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	21966	21210	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	21402.15	20960	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	23245.95	32479	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	22387.05	30406	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	24022.35	30654	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	22656.9	22084	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	21648.9	20206	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	22913.75	19852	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	22886.85	22696	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	22222.2	21423	Salamandra salamandra	Fire salamander
Swab_viable	Swab	Viable_spores	21174.3	21454	Salamandra salamandra	Fire salamander
Muc_total	Mucosome	Total_spores	21791	23119	Ambystoma maculatum	Spotted salamander
Muc_total	Mucosome	Total_spores	20107	21333	Ambystoma maculatum	Spotted salamander
Muc_total	Mucosome	Total_spores	20388	21630	Ambystoma maculatum	Spotted salamander
Muc_total	Mucosome	Total_spores	21461	22769	Ambystoma maculatum	Spotted salamander
Muc_total	Mucosome	Total_spores	19861	21071	Ambystoma maculatum	Spotted salamander
Muc_total	Mucosome	Total_spores	20508	21758	Ambystoma maculatum	Spotted salamander
Muc_total	Mucosome	Total_spores	34062	36137	Ambystoma maculatum	Spotted salamander
Muc_total	Mucosome	Total_spores	32405	34380	Ambystoma maculatum	Spotted salamander
Muc_total	Mucosome	Total_spores	32028	33979	Ambystoma maculatum	Spotted salamander
